gene_cell_id,gene_id,legend,label,origin,value,category,unit
1,1,Brain,AF22,Skin,15.9,Uncategorised,TPM
2,1,Brain,SH-SY5Y,"Bone marrow",47.8,"Cancer cell line",TPM
3,1,Brain,"U-138 MG",Brain,26.6,"Cancer cell line",TPM
4,1,Brain,"U-251 MG",Brain,21.1,"Cancer cell line",TPM
5,1,Brain,"U-87 MG",Brain,26.7,"Cancer cell line",TPM
6,1,Skin,A-431,Skin,22.3,"Cancer cell line",TPM
7,1,Skin,HaCaT,Skin,18.0,"Spontaneously immortalized cell line",TPM
8,1,Skin,SK-MEL-30,Subcutis,14.3,"Cancer cell line",TPM
9,1,Skin,WM-115,Skin,11.7,"Cancer cell line",TPM
10,1,Myeloid,HAP1,Leukemia,24.9,"Cancer cell line",TPM
11,1,Myeloid,HEL,"Peripheral blood",14.1,"Cancer cell line",TPM
12,1,Myeloid,HL-60,"Peripheral blood"," 8.2","Cancer cell line",TPM
13,1,Myeloid,HMC-1,"Peripheral blood",17.9,"Cancer cell line",TPM
14,1,Myeloid,K-562,"Pleural effusion",11.9,"Cancer cell line",TPM
15,1,Myeloid,NB-4,"Bone marrow"," 5.4","Cancer cell line",TPM
16,1,Myeloid,THP-1,"Peripheral blood"," 7.7","Cancer cell line",TPM
17,1,Myeloid,U-937,"Pleural effusion",19.4,"Cancer cell line",TPM
18,1,Lymphoid,Daudi,"Orbital biopsy"," 8.1","Cancer cell line",TPM
19,1,Lymphoid,HDLM-2,"Pleural effusion",24.1,"Cancer cell line",TPM
20,1,Lymphoid,Karpas-707,"Bone marrow and peripheral blood",12.0,"Cancer cell line",TPM
21,1,Lymphoid,MOLT-4,"Peripheral blood",17.0,"Cancer cell line",TPM
22,1,Lymphoid,REH,"Peripheral blood",16.5,"Cancer cell line",TPM
23,1,Lymphoid,RPMI-8226,"Peripheral blood",13.7,"Cancer cell line",TPM
24,1,Lymphoid,U-266/70,"Peripheral blood",14.8,"Cancer cell line",TPM
25,1,Lymphoid,U-266/84,"Peripheral blood",19.9,"Cancer cell line",TPM
26,1,Lymphoid,U-698,Tonsil,13.9,"Cancer cell line",TPM
27,1,Lung,A549,Lung,68.8,"Cancer cell line",TPM
28,1,Lung,HBEC3-KT,"Central lung bronchiole",11.9,"Telomerase immortalized cell line",TPM
29,1,Lung,SCLC-21H,"Pleural effusion",26.8,"Cancer cell line",TPM
30,1,Abdominal,CACO-2,Colon,15.8,"Cancer cell line",TPM
31,1,Abdominal,CAPAN-2,Pancreas,34.3,"Cancer cell line",TPM
32,1,Abdominal,"Hep G2",Liver," 9.9","Cancer cell line",TPM
33,1,"Breast, female reproductive system",AN3-CA,"Lymph node ",16.7,"Cancer cell line",TPM
