gene_tissue_id,gene_id,label,value,unit,sample,platform
1,1,"Cerebral cortex",57.1,TPM,"  3",HPA
2,1,"Thyroid gland",46.4,TPM,"  5",HPA
3,1,"Parathyroid gland",49.2,TPM,"  1",HPA
4,1,"Adrenal gland",33.4,TPM,"  3",HPA
5,1,Appendix,17.4,TPM,"  3",HPA
6,1,"Bone marrow"," 9.6",TPM,"  4",HPA
7,1,"Lymph node",16.5,TPM,"  5",HPA
8,1,Tonsil,12.3,TPM,"  5",HPA
9,1,Spleen,20.9,TPM,"  5",HPA
10,1,"Heart muscle",26.4,TPM,"  4",HPA
11,1,"Skeletal muscle",10.5,TPM,"  5",HPA
12,1,"Smooth muscle",12.8,TPM,"  3",HPA
13,1,Lung,21.9,TPM,"  9",HPA
14,1,Liver,39.8,TPM," 10",HPA
15,1,Gallbladder,23.8,TPM,"  3",HPA
16,1,Pancreas," 2.1",TPM,"  2",HPA
17,1,"Salivary gland"," 4.3",TPM,"  3",HPA
18,1,Esophagus,13.1,TPM,"  3",HPA
19,1,Stomach,20.1,TPM,"  4",HPA
20,1,Duodenum,40.0,TPM,"  2",HPA
21,1,"Small intestine",42.9,TPM,"  4",HPA
22,1,Colon,20.2,TPM," 13",HPA
23,1,Rectum,23.0,TPM,"  4",HPA
24,1,Kidney,40.6,TPM,"  9",HPA
25,1,"Urinary bladder",19.7,TPM,"  2",HPA
26,1,Testis,35.7,TPM," 10",HPA
27,1,Prostate,24.4,TPM,"  9",HPA
28,1,Epididymis,11.5,TPM,"  1",HPA
29,1,"Seminal vesicle",16.1,TPM,"  3",HPA
30,1,"Fallopian tube",19.7,TPM,"  5",HPA
31,1,Breast,15.3,TPM,"  4",HPA
32,1,"Cervix, uterine",20.1,TPM,"  2",HPA
33,1,Endometrium,15.5,TPM,"  5",HPA
34,1,Ovary,12.4,TPM,"  3",HPA
35,1,Placenta,19.2,TPM,"  8",HPA
36,1,"Adipose tissue",16.6,TPM,"  5",HPA
37,1,Skin,18.8,TPM,"  3",HPA
38,1,"Pituitary gland"," 4.9",RPKM,103,GTEx
39,1,Hypothalamus,14.8,RPKM," 96",GTEx
40,1,"Cerebral cortex",12.8,RPKM,222,GTEx
41,1,Hippocampus,13.8,RPKM," 94",GTEx
42,1,Caudate,12.9,RPKM,117,GTEx
43,1,Cerebellum," 9.0",RPKM,230,GTEx
44,1,"Thyroid gland"," 8.4",RPKM,323,GTEx
45,1,"Adrenal gland",12.4,RPKM,145,GTEx
46,1,Spleen," 5.9",RPKM,104,GTEx
47,1,"Heart muscle"," 7.8",RPKM,412,GTEx
48,1,"Skeletal muscle"," 6.9",RPKM,430,GTEx
49,1,Lung," 5.7",RPKM,320,GTEx
50,1,Liver," 9.5",RPKM,119,GTEx
51,1,Pancreas," 3.1",RPKM,171,GTEx
52,1,"Salivary gland"," 5.4",RPKM," 57",GTEx
53,1,Esophagus," 4.9",RPKM,286,GTEx
54,1,Stomach," 5.4",RPKM,193,GTEx
55,1,"Small intestine"," 9.6",RPKM," 88",GTEx
56,1,Colon," 5.6",RPKM,345,GTEx
57,1,Kidney," 8.0",RPKM," 32",GTEx
58,1,"Urinary bladder"," 7.5",RPKM," 11",GTEx
59,1,Testis,10.3,RPKM,172,GTEx
60,1,Prostate," 5.4",RPKM,106,GTEx
61,1,"Fallopian tube"," 3.8",RPKM,"  6",GTEx
62,1,Breast," 6.4",RPKM,214,GTEx
63,1,Vagina," 5.0",RPKM," 96",GTEx
64,1,"Cervix, uterine"," 5.2",RPKM," 11",GTEx
65,1,Endometrium," 4.0",RPKM," 14",GTEx
66,1,Ovary," 3.9",RPKM," 97",GTEx
67,1,"Adipose tissue"," 6.7",RPKM,577,GTEx
68,1,Skin," 7.6",RPKM,607,GTEx
69,1,Brain,35.6,"Tags Per Million","  1",FANTOM5
70,1,"Pituitary gland",29.1,"Tags Per Million","  1",FANTOM5
71,1,Hippocampus,40.5,"Tags Per Million","  2",FANTOM5
72,1,Caudate,41.6,"Tags Per Million","  1",FANTOM5
