Genename	HGNC_ID	Uniprot_ID	ENSG	EntrezID	Synonym	Summary
ACBD5	23338	Q5T8D3	ENSG00000107897	91452	NA	"""This gene encodes a member of the acyl-Coenzyme A binding protein family, known to function in the transport and distribution of long chain acyl-Coenzyme A in cells. This gene may play a role in the differentiation of megakaryocytes and formation of platelets. A related protein in yeast is involved in autophagy of peroxisomes. A mutation in this gene has been associated with autosomal dominant thrombocytopenia. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2014]"""
AKT1S1	28426	Q96B36	ENSG00000204673	84335	PRAS40	"""AKT1S1 is a proline-rich substrate of AKT (MIM 164730) that binds 14-3-3 protein (see YWHAH, MIM 113508) when phosphorylated (Kovacina et al., 2003 [PubMed 12524439]).[supplied by OMIM, Mar 2008]"""
AMBRA1	25990	Q9C0C7	ENSG00000110497	55626	DCAF3; WDR94	"""NA"""
ATG10	20315	Q9H0Y0	ENSG00000152348	83734	APG10; APG10L; pp12616	"""Autophagy is a process for the bulk degradation of cytosolic compartments by lysosomes. ATG10 is an E2-like enzyme involved in 2 ubiquitin-like modifications essential for autophagosome formation: ATG12 (MIM 609608)-ATG5 (MIM 604261) conjugation and modification of a soluble form of MAP-LC3 (MAP1LC3A; MIM 601242), a homolog of yeast Apg8, to a membrane-bound form (Nemoto et al., 2003 [PubMed 12890687]).[supplied by OMIM, Mar 2008]"""
ATG101	25679	Q9BSB4	ENSG00000123395	60673	C12orf44	"""NA"""
ATG12	588	O94817	ENSG00000145782	9140	APG12; FBR93; APG12L; HAPG12	"""Autophagy is a process of bulk protein degradation in which cytoplasmic components, including organelles, are enclosed in double-membrane structures called autophagosomes and delivered to lysosomes or vacuoles for degradation. ATG12 is the human homolog of a yeast protein involved in autophagy (Mizushima et al., 1998 [PubMed 9852036]).[supplied by OMIM, Mar 2008]"""
ATG13	29091	O75143	ENSG00000175224	9776	KIAA0652; PARATARG8	"""The protein encoded by this gene is an autophagy factor and a target of the TOR kinase signaling pathway. The encoded protein is essential for autophagosome formation and mitophagy. [provided by RefSeq, Oct 2016]"""
ATG14	19962	Q6ZNE5	ENSG00000126775	22863	ATG14L; BARKOR; KIAA0831	"""NA"""
ATG16L1	21498	Q676U5	ENSG00000085978	55054	IBD10; WDR30; APG16L; ATG16A; ATG16L	"""The protein encoded by this gene is part of a large protein complex that is necessary for autophagy, the major process by which intracellular components are targeted to lysosomes for degradation. Defects in this gene are a cause of susceptibility to inflammatory bowel disease type 10 (IBD10). Several transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, Jun 2010]"""
ATG16L2	25464	Q8NAA4	ENSG00000168010	89849	WDR80; ATG16B	"""NA"""
ATG2A	29028	Q2TAZ0	ENSG00000110046	23130	NA	"""NA"""
ATG2B	20187	Q96BY7	ENSG00000066739	55102	C14orf103	"""This gene encodes a protein required for autophagy. The encoded protein is involved in autophagosome formation. A germline duplication of a region that includes this gene is associated with predisposition to myeloid malignancies. [provided by RefSeq, Jul 2016]"""
ATG3	20962	Q9NT62	ENSG00000144848	64422	APG3; APG3L; PC3-96; APG3-LIKE	"""This gene encodes a ubiquitin-like-conjugating enzyme and is a component of ubiquitination-like systems involved in autophagy, the process of degradation, turnover and recycling of cytoplasmic constituents in eukaryotic cells. This protein is known to play a role in regulation of autophagy during cell death. A pseudogene of this gene is located on chromosome 20. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jul 2013]"""
ATG4A	16489	Q8WYN0	ENSG00000101844	115201	APG4A; AUTL2	"""Autophagy is the process by which endogenous proteins and damaged organelles are destroyed intracellularly. Autophagy is postulated to be essential for cell homeostasis and cell remodeling during differentiation, metamorphosis, non-apoptotic cell death, and aging. Reduced levels of autophagy have been described in some malignant tumors, and a role for autophagy in controlling the unregulated cell growth linked to cancer has been proposed. This gene encodes a member of the autophagin protein family. The encoded protein is also designated as a member of the C-54 family of cysteine proteases. [provided by RefSeq, Mar 2016]"""
ATG4B	20790	Q9Y4P1	ENSG00000168397	23192	APG4B; AUTL1	"""Autophagy is the process by which endogenous proteins and damaged organelles are destroyed intracellularly. Autophagy is postulated to be essential for cell homeostasis and cell remodeling during differentiation, metamorphosis, non-apoptotic cell death, and aging. Reduced levels of autophagy have been described in some malignant tumors, and a role for autophagy in controlling the unregulated cell growth linked to cancer has been proposed. This gene encodes a member of the autophagin protein family. The encoded protein is also designated as a member of the C-54 family of cysteine proteases. Alternate transcriptional splice variants, encoding different isoforms, have been characterized. [provided by RefSeq, Jul 2008]"""
ATG4C	16040	Q96DT6	ENSG00000125703	84938	APG4C; AUTL1; AUTL3; APG4-C	"""Autophagy is the process by which endogenous proteins and damaged organelles are destroyed intracellularly. Autophagy is postulated to be essential for cell homeostasis and cell remodeling during differentiation, metamorphosis, non-apoptotic cell death, and aging. Reduced levels of autophagy have been described in some malignant tumors, and a role for autophagy in controlling the unregulated cell growth linked to cancer has been proposed. This gene encodes a member of the autophagin protein family. The encoded protein is also designated as a member of the C-54 family of cysteine proteases. Alternate transcriptional splice variants, encoding the same protein, have been characterized. [provided by RefSeq, Jul 2008]"""
ATG4D	20789	Q86TL0	ENSG00000130734	84971	APG4D; AUTL4; APG4-D	"""Autophagy is the process by which endogenous proteins and damaged organelles are destroyed intracellularly. Autophagy is postulated to be essential for cell homeostasis and cell remodeling during differentiation, metamorphosis, non-apoptotic cell death, and aging. Reduced levels of autophagy have been described in some malignant tumors, and a role for autophagy in controlling the unregulated cell growth linked to cancer has been proposed. This gene belongs to the autophagy-related protein 4 (Atg4) family of C54 endopeptidases. Members of this family encode proteins that play a role in the biogenesis of autophagosomes, which sequester the cytosol and organelles for degradation by lysosomes. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2013]"""
ATG5	589	Q9H1Y0	ENSG00000057663	9474	ASP; APG5; APG5L; hAPG5; SCAR25; APG5-LIKE	"""The protein encoded by this gene, in combination with autophagy protein 12, functions as an E1-like activating enzyme in a ubiquitin-like conjugating system. The encoded protein is involved in several cellular processes, including autophagic vesicle formation, mitochondrial quality control after oxidative damage, negative regulation of the innate antiviral immune response, lymphocyte development and proliferation, MHC II antigen presentation, adipocyte differentiation, and apoptosis. Several transcript variants encoding different protein isoforms have been found for this gene. [provided by RefSeq, Sep 2015]"""
ATG7	16935	O95352	ENSG00000197548	10533	GSA7; APG7L; APG7-LIKE	"""This gene encodes an E1-like activating enzyme that is essential for autophagy and cytoplasmic to vacuole transport. The encoded protein is also thought to modulate p53-dependent cell cycle pathways during prolonged metabolic stress. It has been associated with multiple functions, including axon membrane trafficking, axonal homeostasis, mitophagy, adipose differentiation, and hematopoietic stem cell maintenance. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Sep 2015]"""
ATG9A	22408	Q7Z3C6	ENSG00000198925	79065	mATG9; APG9L1; MGD3208	"""NA"""
ATG9B	21899	Q674R7	ENSG00000181652	285973	SONE; APG9L2; NOS3AS	"""This gene functions in the regulation of autophagy, a lysosomal degradation pathway. This gene also functions as an antisense transcript in the posttranscriptional regulation of the endothelial nitric oxide synthase 3 gene, which has 3' overlap with this gene on the opposite strand. Mutations in this gene and disruption of the autophagy process have been associated with multiple cancers. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Sep 2012]"""
BCL2	990	P10415	ENSG00000171791	596	Bcl-2; PPP1R50	"""This gene encodes an integral outer mitochondrial membrane protein that blocks the apoptotic death of some cells such as lymphocytes. Constitutive expression of BCL2, such as in the case of translocation of BCL2 to Ig heavy chain locus, is thought to be the cause of follicular lymphoma. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2016]"""
